sku_interno,producto,marca,metros_totales,retailer,url,categoria,subcategoria,rollos,metros_rollo
TC-284,Xplend Doble Hoja 12 m 3 un,Xplend,36,tottus,https://www.tottus.cl/tottus-cl/articulo/151075272/toalla-de-papel-dh-12-m-xplend-3-un/151075273,Toalla de Papel,Doble Hoja,3,12
TC-285,Xplend Doble Hoja 26 m 2 un,Xplend,52,tottus,https://www.tottus.cl/tottus-cl/articulo/151075126/toalla-de-papel-dh-26-m-xplend-2-un/151075128,Toalla de Papel,Doble Hoja,2,26
TC-286,Nova Ultra Doble Hoja 14 m 2 un,Nova,28,alvi,https://www.alvi.cl/product/toalla-papel-ultra-dh-nova-14mtx2,Toalla de Papel,Doble Hoja,2,14
TC-287,Ovella Gigante Hoja Simple 100 m 1 un,Ovella,100,alvi,https://www.alvi.cl/product/toalla-papel-gigante-hs-ovella-100mtx1-2,Toalla de Papel,Hoja Simple,1,100
TC-288,Swan Clásica Doble Hoja 40 m 1 un,Swan,40,alvi,https://www.alvi.cl/product/toalla-papel-clasica-dh-swan-40mtx1-2,Toalla de Papel,Doble Hoja,1,40
TC-289,Nova Ultra Mega Rollo Doble Hoja 26 m 2 un,Nova,52,alvi,https://www.alvi.cl/product/toalla-papel-megarollo-ultra-nova-2x26mt,Toalla de Papel,Doble Hoja,2,26
TC-290,Ovella XL Doble Hoja 80 m 1 un,Ovella,80,alvi,https://www.alvi.cl/product/toalla-papel-xl-dh-ovella-80mtx1-2,Toalla de Papel,Doble Hoja,1,80
TC-291,Nova Ultra Mega Rollo Doble Hoja 26 m 1 un,Nova,26,alvi,https://www.alvi.cl/product/toalla-papel-megarollo-ultra-nova-1x26mt,Toalla de Papel,Doble Hoja,1,26
TC-292,Swan Ultra Doble Hoja 70 m 1 un,Swan,70,alvi,https://www.alvi.cl/product/toalla-papel-ultra-dh-swan-70mtx1-2,Toalla de Papel,Doble Hoja,1,70
TC-293,Elite Maxi Rollo Triple Hoja 20 m 2 un,Elite,40,alvi,https://www.alvi.cl/product/toalla-papel-maxirollo-th-elite-20mtx2,Toalla de Papel,Triple Hoja,2,20
TC-294,Nova Ultra Gigante Doble Hoja 70 m 1 un,Nova,70,alvi,https://www.alvi.cl/product/toalla-papel-ultra-gigante-dh-nova-70-mt,Toalla de Papel,Doble Hoja,1,70
TC-295,Abolengo XL Doble Hoja 100 m 1 un,Abolengo,100,alvi,https://www.alvi.cl/product/toalla-de-papel-xl,Toalla de Papel,Doble Hoja,1,100
TC-296,Nubelin Hoja Simple 150 m 1 un,Nubelin,150,alvi,https://www.alvi.cl/product/toalla-de-papel-nubelin-hoja-simple-1-un-de-150-m,Toalla de Papel,Hoja Simple,1,150
TC-297,Favorita Hogar Mega Doble Hoja 100 m 1 un,Favorita,100,alvi,https://www.alvi.cl/product/toalla-de-papel-favorita-hogar-mega-doble-hoja-1-un-de-100-m,Toalla de Papel,Doble Hoja,1,100
TC-298,Nubelin Doble Hoja 12 m 3 un,Nubelin,36,alvi,https://www.alvi.cl/product/toalla-papel-doble-hoja-nubelin-3x12mt,Toalla de Papel,Doble Hoja,3,12
TC-299,Abolengo Doble Hoja 10 m 3 un,Abolengo,30,alvi,https://www.alvi.cl/product/toalla-de-papel-3-un-de-10-m,Toalla de Papel,Doble Hoja,3,10
TC-300,Swan Mi Hogar Clásica Doble Hoja 12 m 3 un,Swan,36,alvi,https://www.alvi.cl/product/toalla-papel-dh-mi-hogar-3x12-mt,Toalla de Papel,Doble Hoja,3,12
TC-301,Nubelin Doble Hoja 100 m 1 un,Nubelin,100,alvi,https://www.alvi.cl/product/toalla-de-papel-nubelin-doble-hoja-1-u-de-100-m,Toalla de Papel,Doble Hoja,1,100
TC-302,Nubelin Doble Hoja 26 m 2 un,Nubelin,52,alvi,https://www.alvi.cl/product/toalla-papel-dh-nubelin-26mtx2-2,Toalla de Papel,Doble Hoja,2,26
TC-303,Nova Clásica Doble Hoja 12 m 3 un,Nova,36,alvi,https://www.alvi.cl/product/toalla-papel-clasica-dh-nova-12mtx3,Toalla de Papel,Doble Hoja,3,12
TC-304,Nova Clásica Doble Hoja 12 m 1 un,Nova,12,alvi,https://www.alvi.cl/product/toalla-papel-clasica-dh-nova-1x12-mt,Toalla de Papel,Doble Hoja,1,12
TC-305,Merkat Gigante Doble Hoja 100 m 1 un,Merkat,100,alvi,https://www.alvi.cl/product/toalla-papel-gigante-dh-merkat-100mtx1,Toalla de Papel,Doble Hoja,1,100
TC-306,Nova Gigante Doble Hoja 100 m 1 un,Nova,100,alvi,https://www.alvi.cl/product/toalla-papel-gigante-dh-nova-1x100-mt,Toalla de Papel,Doble Hoja,1,100
TC-307,Scott Multiusos Doble Hoja 20 m 2 un,Scott,40,alvi,https://www.alvi.cl/product/toalla-papel-multiusos-scott-2-un-20-m,Toalla de Papel,Doble Hoja,2,20
TC-308,Nova Clásica XL Doble Hoja 40 m 1 un,Nova,40,alvi,https://www.alvi.cl/product/toalla-papel-clasica-xl-dh-nova-40mtx1-2,Toalla de Papel,Doble Hoja,1,40
TC-309,Acuenta XL Doble Hoja 100 m 1 un,Acuenta,100,acuenta,https://www.acuenta.cl/p/toalla-de-papel-xl-doble-hoja-100-m-1-un-acuenta-1159106,Toalla de Papel,Doble Hoja,1,100
TC-310,Abolengo XL Doble Hoja 100 m 1 un,Abolengo,100,acuenta,https://www.acuenta.cl/p/toalla-de-papel-xl-100-m-1-un-abolengo-853185,Toalla de Papel,Doble Hoja,1,100
TC-311,Ovella Doble Hoja 80 m 1 un,Ovella,80,acuenta,https://www.acuenta.cl/p/toalla-de-papel-doble-hoja-80-metros-1-un-ovella-4779121,Toalla de Papel,Doble Hoja,1,80
TC-312,Nova Doble Hoja 14 m 2 un,Nova,28,acuenta,https://www.acuenta.cl/p/toalla-de-papel-nova-14m-2-un-nova-891014,Toalla de Papel,Doble Hoja,2,14
TC-313,Lider Super Mega Doble Hoja 26 m 2 un,Lider,52,acuenta,https://www.acuenta.cl/p/toalla-de-papel-super-mega-doble-hoja-26-m-2-un-lider-889607,Toalla de Papel,Doble Hoja,2,26
TC-314,Abolengo Clásica Doble Hoja 10 m 3 un,Abolengo,30,acuenta,https://www.acuenta.cl/p/toalla-de-papel-clasica-doble-hoja-10-metros-3-un-abolengo-437437,Toalla de Papel,Doble Hoja,3,10
TC-315,Acuenta Clásica Doble Hoja 10 m 3 un,Acuenta,30,acuenta,https://www.acuenta.cl/p/toalla-de-papel-doble-hoja-10-m-clasica-bolsa-3-un-acuenta-877805,Toalla de Papel,Doble Hoja,3,10
TC-316,Favorita Multiuso Doble Hoja 22 m 2 un,Favorita,44,acuenta,https://www.acuenta.cl/p/toalla-de-papel-multiuso-22-metros-2-un-favorita-4686435,Toalla de Papel,Doble Hoja,2,22
TC-317,Nova Gigante Doble Hoja 70 m 1 un,Nova,70,acuenta,https://www.acuenta.cl/p/toalla-de-papel-gigante-doble-hoja-70-m-1-un-nova-4528514,Toalla de Papel,Doble Hoja,1,70
TC-318,Lider Tradicional Doble Hoja 12 m 3 un,Lider,36,acuenta,https://www.acuenta.cl/p/toalla-de-papel-tradicional-doble-hoja-12-m-3-un-lider-1142328,Toalla de Papel,Doble Hoja,3,12
TC-319,Lider Premium Triple Hoja 20 m 2 un,Lider,40,acuenta,https://www.acuenta.cl/p/toalla-de-papel-premium-triple-hoja-20-metros-2-un-lider-889609,Toalla de Papel,Triple Hoja,2,20
TC-320,Nova Ultra Mega Rollo Doble Hoja 26 m 2 un,Nova,52,acuenta,https://www.acuenta.cl/p/toalla-de-papel-ultra-megarollo-doble-hoja-26-m-2-un-nova-309257,Toalla de Papel,Doble Hoja,2,26
TC-321,Elite Ultra Absorbente Triple Hoja 20 m 2 un,Elite,40,acuenta,https://www.acuenta.cl/p/toalla-de-papel-ultra-absorbente-triple-hoja-20-m-2-un-elite-309243,Toalla de Papel,Triple Hoja,2,20
TC-322,Nova Clásica Gigante XL Doble Hoja 40 m 1 un,Nova,40,acuenta,https://www.acuenta.cl/p/toalla-de-papel-clasica-gigante-xl-doble-hoja-40-metros-1-un-nova-1195911,Toalla de Papel,Doble Hoja,1,40
TC-323,Acuenta XL Doble Hoja 70 m 1 un,Acuenta,70,acuenta,https://www.acuenta.cl/p/toalla-de-papel-xl-70-metros-1-un-acuenta-4791741,Toalla de Papel,Doble Hoja,1,70
TC-324,Swan Doble Hoja 40 m 1 un,Swan,40,acuenta,https://www.acuenta.cl/p/toalla-de-papel-1-un-swan-4936273,Toalla de Papel,Doble Hoja,1,40
TC-325,Abolengo XL Doble Hoja 80 m 1 un,Abolengo,80,acuenta,https://www.acuenta.cl/p/toalla-de-papel-xl-80-m-1-un-abolengo-4937740,Toalla de Papel,Doble Hoja,1,80
TC-326,Nova Clásica Mega Gigante Doble Hoja 100 m 1 un,Nova,100,acuenta,https://www.acuenta.cl/p/toalla-de-papel-clasica-mega-gigante-100m-1-un-nova-4938081,Toalla de Papel,Doble Hoja,1,100

# Columnas: sku_interno,producto,marca,metros_totales,retailer,url,categoria,
# subcategoria,rollos,metros_rollo
#
# categoria/subcategoria deben coincidir EXACTO (mismo texto) con las de
# ovella.csv para que el dashboard agrupe bien — ej. "Papel Higienico"/
# "Doble Hoja" o "Toalla de Papel"/"Hoja Simple". El metraje no necesita ser
# exacto, se agrupa dentro de un rango de +-15% respecto al SKU de Ovella.
#
# rollos = cuántos rollos trae el pack; metros_rollo = metros de cada rollo
# (metros_totales debe ser rollos x metros_rollo). El dashboard los usa para
# armar el "segmento competitivo" (tipo de hoja + tamaño de pack + metros por
# rollo) con el que se filtran los competidores directos entre sí.

